"CATNO","COMNO","CATNAME","TYPE","COM","COM2","COM3","HUDNAME","UINAME","PKG","TARGET","IHEAD","IBODY","URI","MIME","CATE","FLAG","EX","EXTRA","ENGINE"
1,1,"System Tools","NA","termux",,,"Termux Terminal","Termux","com.termux",".app.TermuxActivity",,,,,,,,,
1,2,"System Tools","NA","apklist",,,"Show installed APKs","Package Names","com.csdroid.pkg",".MainActivity",,,,,,,,,
1,3,"System Tools","NB","wb",,,"Default Browser & Search","Web",,,"android.intent.action",".WEB_SEARCH",,,,,"-e","Query $query",
1,4,"System Tools","SYS","ai",,,"AI Assistant (Voice Interface)","AI Assistant",,,"android.intent.action",".VOICE_COMMAND",,,,,,,
2,1,"System Settings","SYS","wifi",,,"Wi-Fi Settings","Wireless Module",,,"android.settings",".WIFI_SETTINGS",,,,,,,
2,2,"System Settings","SYS","ble",,,"Bluetooth Settings","Bluetooth Radio",,,"android.settings",".BLUETOOTH_SETTINGS",,,,,,,
2,3,"System Settings","SYS","gps",,,"GPS Location","Geo-Positioning",,,"android.settings",".LOCATION_SOURCE_SETTINGS",,,,,,,
2,4,"System Settings","SYS","sound",,,"Sound & Vibration","Audio Output",,,"android.settings",".SOUND_SETTINGS",,,,,,,
2,5,"System Settings","SYS","display",,,"Display Settings","Visual Interface",,,"android.settings",".DISPLAY_SETTINGS",,,,,,,
2,6,"System Settings","SYS","battery",,,"Battery Info","Power Core",,,"android.settings",".BATTERY_SAVER_SETTINGS",,,,,,,
2,7,"System Settings","SYS","apkinfo",,,"App Management","Package Manager",,,"android.settings",".MANAGE_APPLICATIONS_SETTINGS",,,,,,,
2,8,"System Settings","SYS","hspot",,,"Hotspot & Tethering","Tethering Uplink",,,"android.settings",".TETHER_SETTINGS",,,,,,,
2,9,"System Settings","SYS","nfc",,,"NFC Settings","Near Field Protocol",,,"android.settings",".NFC_SETTINGS",,,,,,,
2,10,"System Settings","SYS","vpn",,,"VPN Settings","Secure Tunnel",,,"android.settings",".VPN_SETTINGS",,,,,,,
2,11,"System Settings","SYS","apmode",,,"Airplane Mode","Radio Silence",,,"android.settings",".AIRPLANE_MODE_SETTINGS",,,,,,,
2,12,"System Settings","SYS","mdata",,,"Mobile Data","Celluar Link",,,"android.settings",".DATA_ROAMING_SETTINGS",,,,,,,
2,13,"System Settings","SYS","roam",,,"Roaming Settings","Roaming Protocols",,,"android.settings",".DATA_ROAMING_SETTINGS",,,,,,,
2,14,"System Settings","SYS","storage",,,"Internal Storage","Memory Banks",,,"android.settings",".INTERNAL_STORAGE_SETTINGS",,,,,,,
2,15,"System Settings","SYS","settime",,,"Date & Time","Chronometer",,,"android.settings",".DATE_SETTINGS",,,,,,,
2,16,"System Settings","SYS","ime",,,"Input Method Editor","Input Matrix",,,"android.settings",".INPUT_METHOD_SETTINGS",,,,,,,
2,17,"System Settings","SYS","keyboard",,,"Keyboard Settings","Input Matrix",,,"android.settings",".INPUT_METHOD_SETTINGS",,,,,,,
2,18,"System Settings","SYS","access",,,"Accessibility","Accessibility Layer",,,"android.settings",".ACCESSIBILITY_SETTINGS",,,,,,,
2,19,"System Settings","SYS","account",,,"Sync Settings","Identity Sync",,,"android.settings",".SYNC_SETTINGS",,,,,,,
2,20,"System Settings","SYS","dev",,,"Developer Options","Developer Override",,,"android.settings",".APPLICATION_DEVELOPMENT_SETTINGS",,,,,,,
